Sr. No.,Journal title,ISSN,eISSN,Publisher name
85,NEURAL COMPUTING & APPLICATIONS,0941-0643,1433-3058,SPRINGER LONDON LTD
86,APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,0938-1279,1432-0622,SPRINGER
87,ACM TRANSACTIONS ON THE WEB,1559-1131,1559-114X,ASSOC COMPUTING MACHINERY
88,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1556-4665,1556-4703,ASSOC COMPUTING MACHINERY
89,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1551-6857,1551-6865,ASSOC COMPUTING MACHINERY
90,PHOTONIC NETWORK COMMUNICATIONS,1387-974X,1572-8188,SPRINGER
91,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,1012-2443,1573-7470,SPRINGER
92,SIMULATION MODELLING PRACTICE AND THEORY,1569-190X,1878-1462,ELSEVIER
93,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,2329-924X,2329-924X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
94,MULTIMEDIA TOOLS AND APPLICATIONS,1380-7501,1573-7721,SPRINGER
95,INTERNATIONAL JOURNAL OF MULTIMEDIA INFORMATION RETRIEVAL,2192-6611,2192-662X,SPRINGER
96,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,0169-2607,1872-7565,ELSEVIER IRELAND LTD
97,PERFORMANCE EVALUATION,0166-5316,1872-745X,ELSEVIER
98,INTEGRATION-THE VLSI JOURNAL,0167-9260,1872-7522,ELSEVIER
99,BIG DATA RESEARCH,2214-5796,2214-5796,ELSEVIER
100,STATISTICS AND COMPUTING,0960-3174,1573-1375,SPRINGER
101,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,1063-8210,1557-9999,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
102,IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,1556-603X,1556-6048,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
103,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,IEEE COMPUTER SOC
104,INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,1868-8071,1868-808X,SPRINGER HEIDELBERG
105,LANGUAGE RESOURCES AND EVALUATION,1574-020X,1574-0218,SPRINGER
106,NATURAL COMPUTING,1567-7818,1572-9796,SPRINGER
107,DISPLAYS,0141-9382,1872-7387,ELSEVIER
108,MATHEMATICAL PROGRAMMING COMPUTATION,1867-2949,1867-2957,SPRINGER HEIDELBERG
109,WIRELESS NETWORKS,1022-0038,1572-8196,SPRINGER
110,JOURNAL OF MATHEMATICAL IMAGING AND VISION,0924-9907,1573-7683,SPRINGER
111,JOURNAL OF AUTOMATED REASONING,0168-7433,1573-0670,SPRINGER
112,IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1941-0077,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
113,OPTICAL SWITCHING AND NETWORKING,1573-4277,1872-9770,ELSEVIER
114,MEDICAL IMAGE ANALYSIS,1361-8415,1361-8423,ELSEVIER
115,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,1556-6013,1556-6021,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
116,MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,0923-6082,1573-0824,SPRINGER
