Sr. No.,Journal title,ISSN,eISSN,Publisher name
43,PEER-TO-PEER NETWORKING AND APPLICATIONS,1936-6442,1936-6450,SPRINGER
44,MATHEMATICS AND COMPUTERS IN SIMULATION,0378-4754,1872-7166,ELSEVIER
45,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,1615-5262,1615-5270,SPRINGER
46,STATISTICAL ANALYSIS AND DATA MINING,1932-1864,1932-1872,WILEY
47,BIOLOGICAL CYBERNETICS,0340-1200,1432-0770,SPRINGER
48,CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,1936-2447,1936-2455,SPRINGER
49,JOURNAL OF SUPERCOMPUTING,0920-8542,1573-0484,SPRINGER
50,ARTIFICIAL INTELLIGENCE REVIEW,0269-2821,1573-7462,SPRINGER
51,PARALLEL COMPUTING,0167-8191,1872-7336,ELSEVIER
52,JOURNAL OF COMPUTATIONAL SCIENCE,1877-7503,1877-7511,ELSEVIER
53,BIT NUMERICAL MATHEMATICS,0006-3835,1572-9125,SPRINGER
54,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,1875-6891,1875-6883,SPRINGERNATURE
55,DISCRETE & COMPUTATIONAL GEOMETRY,0179-5376,1432-0444,SPRINGER
56,FUZZY OPTIMIZATION AND DECISION MAKING,1568-4539,1573-2908,SPRINGER
57,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,2471-285X,2471-285X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
58,ACM TRANSACTIONS ON ALGORITHMS,1549-6325,1549-6333,ASSOC COMPUTING MACHINERY
59,IET COMPUTER VISION,1751-9632,1751-9640,WILEY
60,COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,1381-298X,1572-9346,SPRINGER
61,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,1557-7325,ASSOC COMPUTING MACHINERY
62,INFORMATION SCIENCES,0020-0255,1872-6291,ELSEVIER SCIENCE INC
63,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2168-2194,2168-2208,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
64,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,1615-147X,1615-1488,SPRINGER
65,JOURNAL OF COMPUTER LANGUAGES,2590-1184,2665-9182,ELSEVIER SCI LTD
